name,date,cases
Ayrshire and Arran,07/03/2020,1
Ayrshire and Arran,08/03/2020,1
Ayrshire and Arran,09/03/2020,1
Ayrshire and Arran,10/03/2020,1
Ayrshire and Arran,11/03/2020,3
Ayrshire and Arran,12/03/2020,4
Ayrshire and Arran,13/03/2020,4
Borders,11/03/2020,2
Borders,12/03/2020,2
Borders,13/03/2020,3
Dumfries and Galloway,16/03/2020,1
Dumfries and Galloway,17/03/2020,1
Dumfries and Galloway,18/03/2020,4
Fife,07/03/2020,2
Fife,08/03/2020,2
Fife,09/03/2020,2
Fife,10/03/2020,2
Fife,11/03/2020,2
Fife,12/03/2020,3
Fife,13/03/2020,4
Forth Valley,07/03/2020,2
Forth Valley,08/03/2020,2
Forth Valley,09/03/2020,2
Forth Valley,10/03/2020,2
Forth Valley,11/03/2020,2
Grampian,07/03/2020,4
Grampian,08/03/2020,4
Grampian,09/03/2020,4
Greater Glasgow and Clyde,07/03/2020,2
Greater Glasgow and Clyde,08/03/2020,3
Greater Glasgow and Clyde,09/03/2020,3
Greater Glasgow and Clyde,10/03/2020,3
Highland,14/03/2020,1
Highland,15/03/2020,2
Highland,16/03/2020,2
Lanarkshire,07/03/2020,2
Lanarkshire,08/03/2020,2
Lanarkshire,09/03/2020,3
Lanarkshire,10/03/2020,3
Lanarkshire,11/03/2020,4
Lothian,07/03/2020,2
Lothian,08/03/2020,3
Orkney,01/04/2020,2
Orkney,02/04/2020,2
Orkney,03/04/2020,2
Orkney,04/04/2020,4
Orkney,05/04/2020,4
Orkney,06/04/2020,4
Orkney,07/04/2020,4
Orkney,08/04/2020,4
Orkney,09/04/2020,4
Orkney,10/04/2020,4
Shetland,09/03/2020,2
Shetland,10/03/2020,2
Shetland,11/03/2020,2
Tayside,07/03/2020,1
Tayside,08/03/2020,1
Tayside,09/03/2020,1
Tayside,10/03/2020,1
Tayside,11/03/2020,2
Tayside,12/03/2020,4
Tayside,13/03/2020,3
Western Isles,01/04/2020,3
Western Isles,02/04/2020,3
Western Isles,03/04/2020,3
Western Isles,04/04/2020,3
Western Isles,05/04/2020,4
Western Isles,06/04/2020,4
Western Isles,07/04/2020,4
Western Isles,08/04/2020,4
Western Isles,09/04/2020,5
Western Isles,10/04/2020,6