code,group
E06000001,County Durham
E06000002,North Yorkshire
E06000003,North Yorkshire
E06000004,County Durham
E06000005,County Durham
E06000006,Cheshire
E06000007,Cheshire
E06000008,Lancashire
E06000009,Lancashire
E06000010,East Riding of Yorkshire
E06000011,East Riding of Yorkshire
E06000012,Lincolnshire
E06000013,Lincolnshire
E06000014,North Yorkshire
E06000015,Derbyshire
E06000016,Leicestershire
E06000017,Rutland
E06000018,Nottinghamshire
E06000019,Herefordshire
E06000020,Shropshire
E06000021,Staffordshire
E06000022,Somerset
E06000023,Bristol
E06000024,Somerset
E06000025,Gloucestershire
E06000026,Devon
E06000027,Devon
E06000030,Wiltshire
E06000031,Cambridgeshire
E06000032,Bedfordshire
E06000033,Essex
E06000034,Essex
E06000035,Kent
E06000036,Berkshire
E06000037,Berkshire
E06000038,Berkshire
E06000039,Berkshire
E06000040,Berkshire
E06000041,Berkshire
E06000042,Buckinghamshire
E06000043,East Sussex
E06000044,Hampshire
E06000045,Hampshire
E06000046,Isle of Wight
E06000047,County Durham
E06000049,Cheshire
E06000050,Cheshire
E06000051,Shropshire
E06000052,Cornwall
E06000054,Wiltshire
E06000055,Bedfordshire
E06000056,Bedfordshire
E06000057,Northumberland
E06000058,Dorset
E06000059,Dorset
E08000001,Greater Manchester
E08000002,Greater Manchester
E08000003,Greater Manchester
E08000004,Greater Manchester
E08000005,Greater Manchester
E08000006,Greater Manchester
E08000007,Greater Manchester
E08000008,Greater Manchester
E08000009,Greater Manchester
E08000010,Greater Manchester
E08000011,Merseyside
E08000012,Merseyside
E08000013,Merseyside
E08000014,Merseyside
E08000015,Merseyside
E08000016,South Yorkshire
E08000017,South Yorkshire
E08000018,South Yorkshire
E08000019,South Yorkshire
E08000021,Tyne and Wear
E08000022,Tyne and Wear
E08000023,Tyne and Wear
E08000024,Tyne and Wear
E08000025,West Midlands
E08000026,West Midlands
E08000027,West Midlands
E08000028,West Midlands
E08000029,West Midlands
E08000030,West Midlands
E08000031,West Midlands
E08000032,West Yorkshire
E08000033,West Yorkshire
E08000034,West Yorkshire
E08000035,West Yorkshire
E08000036,West Yorkshire
E08000037,Tyne and Wear
E09000001,Greater London
E09000002,Greater London
E09000003,Greater London
E09000004,Greater London
E09000005,Greater London
E09000006,Greater London
E09000007,Greater London
E09000008,Greater London
E09000009,Greater London
E09000010,Greater London
E09000011,Greater London
E09000012,Greater London
E09000013,Greater London
E09000014,Greater London
E09000015,Greater London
E09000016,Greater London
E09000017,Greater London
E09000018,Greater London
E09000019,Greater London
E09000020,Greater London
E09000021,Greater London
E09000022,Greater London
E09000023,Greater London
E09000024,Greater London
E09000025,Greater London
E09000026,Greater London
E09000027,Greater London
E09000028,Greater London
E09000029,Greater London
E09000030,Greater London
E09000031,Greater London
E09000032,Greater London
E09000033,Greater London
E10000002,Buckinghamshire
E10000003,Cambridgeshire
E10000006,Cumbria
E10000007,Derbyshire
E10000008,Devon
E10000011,East Sussex
E10000012,Essex
E10000013,Gloucestershire
E10000014,Hampshire
E10000015,Hertfordshire
E10000016,Kent
E10000017,Lancashire
E10000018,Leicestershire
E10000019,Lincolnshire
E10000020,Norfolk
E10000021,Northamptonshire
E10000023,North Yorkshire
E10000024,Nottinghamshire
E10000025,Oxfordshire
E10000027,Somerset
E10000028,Staffordshire
E10000029,Suffolk
E10000030,Surrey
E10000031,Warwickshire
E10000032,West Sussex
E10000034,Worcestershire
W06000019,Aneurin Bevan University Health Board
W06000013,Cwm Taf Morgannwg University Health Board
W06000018,Aneurin Bevan University Health Board
W06000015,Cardiff and Vale University Health Board
W06000010,Hywel Dda University Health Board
W06000008,Hywel Dda University Health Board
W06000003,Betsi Cadwaladr University Health Board
W06000004,Betsi Cadwaladr University Health Board
W06000005,Betsi Cadwaladr University Health Board
W06000002,Betsi Cadwaladr University Health Board
W06000001,Betsi Cadwaladr University Health Board
W06000024,Cwm Taf Morgannwg University Health Board
W06000021,Aneurin Bevan University Health Board
W06000012,Swansea Bay University Health Board
W06000022,Aneurin Bevan University Health Board
W06000009,Hywel Dda University Health Board
W06000023,Powys Teaching Health Board
W06000016,Cwm Taf Morgannwg University Health Board
W06000011,Swansea Bay University Health Board
W06000020,Aneurin Bevan University Health Board
W06000014,Cardiff and Vale University Health Board
W06000006,Betsi Cadwaladr University Health Board