countyName,countyNameAbbrv
Bedfordshire,Beds.
Berkshire,Berks.
Bristol,Bristol
Buckinghamshire,Bucks.
Cambridgeshire,Cambs.
Cheshire,Cheshire
Cornwall,Cornwall
County Durham,Durham
Cumbria,Cumbria
Derbyshire,Derbs.
Devon,Devon
Dorset,Dorset
East Riding of Yorkshire,East Riding\nof Yorkshire
East Sussex,E. Sussex
Essex,Essex
Gloucestershire,Glos.
Greater London,Greater\nLondon
Greater Manchester,Greater\nManc.
Hampshire,Hants.
Herefordshire,Heref.
Hertfordshire,Herts.
Isle of Wight,Isle of Wight
Kent,Kent
Lancashire,Lancs.
Leicestershire,Leics.
Lincolnshire,Lincs.
Merseyside,Merseyside
Norfolk,Norfolk
North Yorkshire,N. Yorkshire
Northamptonshire,Northants.
Northumberland,Northd.
Nottinghamshire,Notts.
Oxfordshire,Oxon.
Rutland,Rutland
Shropshire,Salop.
Somerset,Somerset
South Yorkshire,S. Yorkshire
Staffordshire,Staffs.
Suffolk,Suffolk
Surrey,Surrey
Tyne and Wear,Tyne &\nWear
Warwickshire,Warks.
West Midlands,W. Midlands
West Sussex,W. Sussex
West Yorkshire,W. Yorkshire
Wiltshire,Wilts.
Worcestershire,Worcs.
Blaenau Gwent,Blae.\nGw.
Bridgend,Bridgend
Caerphilly,Caer.
Cardiff,Cardiff
Carmarthenshire,Carm.
Ceredigion,Ceredigion
Conwy,Conwy
Denbighshire,Denb.
Flintshire,Flint.
Gwynedd,Gwyn.
Isle of Anglesey,Isle of Anglesey
Merthyr Tydfil,Merth.\nTyd.
Monmouthshire,Monm.
Neath Port Talbot,Nth.\nPt. Talb.
Newport,Newp.
Pembrokeshire,Pemb.
Powys,Powys
Rhondda Cynon Taf,Rho.\nCyn. Taf
Swansea,Swan.
Torfaen,Torf.
Vale of Glamorgan,V. of Glam.
Wrexham,Wrex.
Aneurin Bevan University Health Board,Aneurin\nBevan
Betsi Cadwaladr University Health Board,Betsi\nCadwaladr
Cardiff and Vale University Health Board,Cardiff & Vale
Cwm Taf Morgannwg University Health Board,Cwm\nTaf Morg.
Hywel Dda University Health Board,Hywel Dda
Powys Teaching Health Board,Powys
Swansea Bay University Health Board,Swansea\nBay
Ayrshire and Arran,Ayr. & Arran
Borders,Borders
Dumfries and Galloway,Dumfries\n& Galloway
Fife,Fife
Forth Valley,Forth Valley
Grampian,Grampian
Greater Glasgow and Clyde,Greater Glasgow\n& Clyde
Highland,Highland
Lanarkshire,Lanark.
Lothian,Lothian
Orkney,Orkney
Shetland,Shetland
Tayside,Tayside
Western Isles,Western Isles
Antrim and Newtownabbey,Antrim &\nNewtownabbey
Ards and North Down,Ards & N. Down
"Armagh City, Banbridge and Craigavon","Armagh,\nBanbridge & Craigavon"
Belfast,Belfast
Causeway Coast and Glens,Causeway Coast &\nGlens
Derry City and Strabane,Derry &\nStrabane
Fermanagh and Omagh,Fermanagh &\nOmagh
Lisburn and Castlereagh,Lisburn &\nCastlereagh
Mid and East Antrim,M. & E. Antrim
Mid Ulster,M. Ulster
"Newry, Mourne and Down","Newry, Mourne & Down"
England,England
Northern Ireland,Northern Ireland
Scotland,Scotland
Wales,Wales
Barking and Dagenham,Barking\nand\nDagenham
Barnet,Barnet
Bexley,Bexley
Brent,Brent
Bromley,Bromley
Camden,Camden
City of London,City of\nLondon
Croydon,Croydon
Ealing,Ealing
Enfield,Enfield
Greenwich,Greenwich
Hackney,Hackney
Hammersmith and Fulham,Hammersmith\nand\nFulham
Haringey,Haringey
Harrow,Harrow
Havering,Havering
Hillingdon,Hillingdon
Hounslow,Hounslow
Islington,Islington
Kensington and Chelsea,Kensington\nand\nChelsea
Kingston upon Thames,Kingston\nupon\nThames
Lambeth,Lambeth
Lewisham,Lewisham
Merton,Merton
Newham,Newham
Redbridge,Redbridge
Richmond upon Thames,Richmond\nupon\nThames
Southwark,Southwark
Sutton,Sutton
Tower Hamlets,Tower\nHamlets
Waltham Forest,Waltham\nForest
Wandsworth,Wandsworth
Westminster,Westminster