areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,Northern Ireland,N92000002,2020-07-25,,5891
nation,Northern Ireland,N92000002,2020-07-24,15,5891
nation,Northern Ireland,N92000002,2020-07-23,8,5876
nation,Northern Ireland,N92000002,2020-07-22,9,5868
nation,Northern Ireland,N92000002,2020-07-21,2,5859
nation,Northern Ireland,N92000002,2020-07-20,,5857
nation,Northern Ireland,N92000002,2020-07-19,,5834
nation,Northern Ireland,N92000002,2020-07-18,,5834
nation,Northern Ireland,N92000002,2020-07-17,19,5834
nation,Northern Ireland,N92000002,2020-07-16,16,5815
nation,Northern Ireland,N92000002,2020-07-15,9,5799
nation,Northern Ireland,N92000002,2020-07-14,2,5790
nation,Northern Ireland,N92000002,2020-07-13,,5788
nation,Northern Ireland,N92000002,2020-07-12,,5772
nation,Northern Ireland,N92000002,2020-07-11,,5772
nation,Northern Ireland,N92000002,2020-07-10,4,5772
nation,Northern Ireland,N92000002,2020-07-09,3,5768
nation,Northern Ireland,N92000002,2020-07-08,4,5765
nation,Northern Ireland,N92000002,2020-07-07,5,5761
nation,Northern Ireland,N92000002,2020-07-06,,5756
nation,Northern Ireland,N92000002,2020-07-05,,5747
nation,Northern Ireland,N92000002,2020-07-04,,5747
nation,Northern Ireland,N92000002,2020-07-03,4,5747
nation,Northern Ireland,N92000002,2020-07-02,7,5768
nation,Northern Ireland,N92000002,2020-07-01,1,5761
nation,Northern Ireland,N92000002,2020-06-30,3,5760
nation,Northern Ireland,N92000002,2020-06-29,6,5757
nation,Northern Ireland,N92000002,2020-06-28,1,5751
nation,Northern Ireland,N92000002,2020-06-27,2,5750
nation,Northern Ireland,N92000002,2020-06-26,4,5748
nation,Northern Ireland,N92000002,2020-06-25,1,4874
nation,Northern Ireland,N92000002,2020-06-24,2,4873
nation,Northern Ireland,N92000002,2020-06-23,0,4871
nation,Northern Ireland,N92000002,2020-06-22,1,4871
nation,Northern Ireland,N92000002,2020-06-21,4,4870
nation,Northern Ireland,N92000002,2020-06-20,0,4866
nation,Northern Ireland,N92000002,2020-06-19,3,4866
nation,Northern Ireland,N92000002,2020-06-18,1,4863
nation,Northern Ireland,N92000002,2020-06-17,8,4862
nation,Northern Ireland,N92000002,2020-06-16,2,4854
nation,Northern Ireland,N92000002,2020-06-15,4,4852
nation,Northern Ireland,N92000002,2020-06-14,7,4848
nation,Northern Ireland,N92000002,2020-06-13,3,4841
nation,Northern Ireland,N92000002,2020-06-12,16,4838
nation,Northern Ireland,N92000002,2020-06-11,4,4822
nation,Northern Ireland,N92000002,2020-06-10,13,4818
nation,Northern Ireland,N92000002,2020-06-09,3,4805
nation,Northern Ireland,N92000002,2020-06-08,6,4802
nation,Northern Ireland,N92000002,2020-06-07,6,4796
nation,Northern Ireland,N92000002,2020-06-06,14,4790
nation,Northern Ireland,N92000002,2020-06-05,3,4776
nation,Northern Ireland,N92000002,2020-06-04,33,4773
nation,Northern Ireland,N92000002,2020-06-03,8,4740
nation,Northern Ireland,N92000002,2020-06-02,4,4732
nation,Northern Ireland,N92000002,2020-06-01,12,4728
nation,Northern Ireland,N92000002,2020-05-31,7,4716
nation,Northern Ireland,N92000002,2020-05-30,13,4709
nation,Northern Ireland,N92000002,2020-05-29,17,4696
nation,Northern Ireland,N92000002,2020-05-28,16,4679
nation,Northern Ireland,N92000002,2020-05-27,26,4663
nation,Northern Ireland,N92000002,2020-05-26,28,4637
nation,Northern Ireland,N92000002,2020-05-25,39,4609
nation,Northern Ireland,N92000002,2020-05-24,25,4570
nation,Northern Ireland,N92000002,2020-05-23,41,4545
nation,Northern Ireland,N92000002,2020-05-22,23,4504
nation,Northern Ireland,N92000002,2020-05-21,42,4481
nation,Northern Ireland,N92000002,2020-05-20,18,4439
nation,Northern Ireland,N92000002,2020-05-19,20,4421
nation,Northern Ireland,N92000002,2020-05-18,16,4401
nation,Northern Ireland,N92000002,2020-05-17,28,4385
nation,Northern Ireland,N92000002,2020-05-16,40,4357
nation,Northern Ireland,N92000002,2020-05-15,26,4317
nation,Northern Ireland,N92000002,2020-05-14,38,4291
nation,Northern Ireland,N92000002,2020-05-13,60,4253
nation,Northern Ireland,N92000002,2020-05-12,44,4193
nation,Northern Ireland,N92000002,2020-05-11,30,4149
nation,Northern Ireland,N92000002,2020-05-10,41,4119
nation,Northern Ireland,N92000002,2020-05-09,56,4078
nation,Northern Ireland,N92000002,2020-05-08,38,4022
nation,Northern Ireland,N92000002,2020-05-07,50,3984
nation,Northern Ireland,N92000002,2020-05-06,53,3934
nation,Northern Ireland,N92000002,2020-05-05,45,3881
nation,Northern Ireland,N92000002,2020-05-04,69,3836
nation,Northern Ireland,N92000002,2020-05-03,78,3767
nation,Northern Ireland,N92000002,2020-05-02,66,3689
nation,Northern Ireland,N92000002,2020-05-01,87,3623
nation,Northern Ireland,N92000002,2020-04-30,73,3536
nation,Northern Ireland,N92000002,2020-04-29,55,3463
nation,Northern Ireland,N92000002,2020-04-28,34,3408
nation,Northern Ireland,N92000002,2020-04-27,66,3374
nation,Northern Ireland,N92000002,2020-04-26,82,3308
nation,Northern Ireland,N92000002,2020-04-25,104,3226
nation,Northern Ireland,N92000002,2020-04-24,106,3122
nation,Northern Ireland,N92000002,2020-04-23,142,3016
nation,Northern Ireland,N92000002,2020-04-22,116,2874
nation,Northern Ireland,N92000002,2020-04-21,30,2758
nation,Northern Ireland,N92000002,2020-04-20,83,2728
nation,Northern Ireland,N92000002,2020-04-19,159,2645
nation,Northern Ireland,N92000002,2020-04-18,148,2486
nation,Northern Ireland,N92000002,2020-04-17,137,2338
nation,Northern Ireland,N92000002,2020-04-16,113,2201
nation,Northern Ireland,N92000002,2020-04-15,121,2088
nation,Northern Ireland,N92000002,2020-04-14,85,1967
nation,Northern Ireland,N92000002,2020-04-13,76,1882
nation,Northern Ireland,N92000002,2020-04-12,89,1806
nation,Northern Ireland,N92000002,2020-04-11,128,1717
nation,Northern Ireland,N92000002,2020-04-10,112,1589
nation,Northern Ireland,N92000002,2020-04-09,138,1477
nation,Northern Ireland,N92000002,2020-04-08,84,1339
nation,Northern Ireland,N92000002,2020-04-07,97,1255
nation,Northern Ireland,N92000002,2020-04-06,69,1158
nation,Northern Ireland,N92000002,2020-04-05,91,1089
nation,Northern Ireland,N92000002,2020-04-04,94,998
nation,Northern Ireland,N92000002,2020-04-03,130,904
nation,Northern Ireland,N92000002,2020-04-02,85,774
nation,Northern Ireland,N92000002,2020-04-01,103,689
nation,Northern Ireland,N92000002,2020-03-31,53,586
nation,Northern Ireland,N92000002,2020-03-30,123,533
nation,Northern Ireland,N92000002,2020-03-29,86,410
nation,Northern Ireland,N92000002,2020-03-28,49,324
nation,Northern Ireland,N92000002,2020-03-27,34,275
nation,Northern Ireland,N92000002,2020-03-26,32,241
nation,Northern Ireland,N92000002,2020-03-25,37,209
nation,Northern Ireland,N92000002,2020-03-24,24,172
nation,Northern Ireland,N92000002,2020-03-23,20,148
nation,Northern Ireland,N92000002,2020-03-22,20,128
nation,Northern Ireland,N92000002,2020-03-21,22,108
nation,Northern Ireland,N92000002,2020-03-20,9,86
nation,Northern Ireland,N92000002,2020-03-19,9,77
nation,Northern Ireland,N92000002,2020-03-18,6,68
nation,Northern Ireland,N92000002,2020-03-17,10,62
nation,Northern Ireland,N92000002,2020-03-16,7,52
nation,Northern Ireland,N92000002,2020-03-15,11,45
nation,Northern Ireland,N92000002,2020-03-14,5,34
nation,Northern Ireland,N92000002,2020-03-13,10,29
nation,Northern Ireland,N92000002,2020-03-12,1,19
nation,Northern Ireland,N92000002,2020-03-11,2,18
nation,Northern Ireland,N92000002,2020-03-10,0,16
