,Area name,Area code,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23
29,Luton,E06000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,8.0,14.0,18.0,27.0,29.0,34.0,42.0,57.0,68.0,77.0,89.0,99.0,109.0,125.0,151.0,168.0,191.0,209.0,223.0,250.0,278.0,308.0,343.0,359.0,381.0,397.0,420.0,435.0,459.0,468.0,472.0,496.0,529.0,530.0,538.0,548.0,548.0
30,Southend-on-Sea,E06000033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,6.0,8.0,8.0,8.0,8.0,9.0,13.0,19.0,25.0,27.0,35.0,42.0,48.0,59.0,72.0,87.0,103.0,117.0,135.0,150.0,159.0,178.0,196.0,201.0,207.0,217.0,221.0,228.0,238.0,245.0,251.0,254.0,255.0,256.0,261.0,265.0,266.0,266.0
31,Thurrock,E06000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,8.0,13.0,14.0,14.0,17.0,22.0,31.0,33.0,37.0,47.0,59.0,66.0,73.0,83.0,93.0,103.0,120.0,125.0,133.0,142.0,150.0,164.0,182.0,187.0,191.0,199.0,204.0,212.0,216.0,218.0,227.0,231.0,235.0,236.0,242.0,244.0,244.0
32,Medway,E06000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,8.0,11.0,11.0,13.0,14.0,16.0,17.0,20.0,22.0,32.0,35.0,46.0,62.0,72.0,83.0,91.0,100.0,109.0,119.0,136.0,169.0,193.0,208.0,232.0,251.0,281.0,318.0,340.0,360.0,383.0,401.0,414.0,425.0,438.0,455.0,471.0,496.0,512.0,523.0,541.0,547.0,548.0
33,Bracknell Forest,E06000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,7.0,8.0,13.0,15.0,17.0,18.0,20.0,23.0,25.0,30.0,34.0,37.0,46.0,56.0,59.0,69.0,76.0,80.0,83.0,94.0,104.0,107.0,111.0,120.0,127.0,142.0,152.0,157.0,162.0,168.0,172.0,174.0,174.0,174.0,174.0
34,West Berkshire,E06000037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,14.0,21.0,22.0,30.0,33.0,40.0,44.0,49.0,55.0,58.0,69.0,73.0,87.0,92.0,101.0,114.0,120.0,126.0,137.0,142.0,144.0,157.0,166.0,173.0,185.0,197.0,206.0,223.0,233.0,246.0,251.0,254.0,256.0,256.0
35,Reading,E06000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0,8.0,9.0,11.0,15.0,16.0,16.0,19.0,22.0,26.0,28.0,36.0,43.0,46.0,56.0,67.0,77.0,82.0,96.0,104.0,112.0,126.0,134.0,138.0,151.0,164.0,179.0,193.0,202.0,227.0,254.0,289.0,313.0,341.0,360.0,365.0,369.0,369.0,369.0,369.0
36,Slough,E06000039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,5.0,10.0,16.0,19.0,21.0,25.0,32.0,37.0,38.0,43.0,48.0,50.0,56.0,66.0,73.0,79.0,91.0,102.0,107.0,113.0,123.0,129.0,140.0,143.0,153.0,167.0,172.0,181.0,199.0,208.0,216.0,230.0,242.0,251.0,265.0,282.0,298.0,306.0,315.0,323.0,325.0,325.0,325.0,325.0
37,Windsor and Maidenhead,E06000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,7.0,11.0,11.0,14.0,15.0,17.0,18.0,18.0,24.0,29.0,31.0,37.0,44.0,46.0,55.0,60.0,64.0,72.0,74.0,83.0,90.0,99.0,103.0,107.0,116.0,120.0,123.0,133.0,136.0,146.0,148.0,157.0,163.0,165.0,175.0,184.0,198.0,205.0,205.0,206.0,206.0,206.0,206.0
38,Wokingham,E06000041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,8.0,10.0,10.0,10.0,12.0,12.0,13.0,17.0,19.0,21.0,21.0,24.0,25.0,26.0,28.0,33.0,43.0,50.0,63.0,78.0,86.0,100.0,102.0,110.0,119.0,127.0,133.0,143.0,155.0,160.0,176.0,179.0,190.0,207.0,221.0,233.0,250.0,276.0,280.0,283.0,285.0,285.0,285.0
39,Milton Keynes,E06000042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,6.0,9.0,21.0,27.0,29.0,33.0,35.0,57.0,71.0,81.0,88.0,98.0,108.0,118.0,132.0,149.0,163.0,175.0,187.0,197.0,218.0,237.0,257.0,268.0,281.0,298.0,312.0,318.0,333.0,349.0,361.0,377.0,390.0,395.0,401.0,403.0,403.0,403.0
40,Brighton and Hove,E06000043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,6.0,6.0,6.0,8.0,8.0,10.0,12.0,12.0,16.0,18.0,21.0,24.0,27.0,31.0,38.0,44.0,53.0,65.0,73.0,82.0,88.0,94.0,113.0,125.0,136.0,149.0,160.0,170.0,186.0,205.0,211.0,222.0,230.0,241.0,250.0,263.0,278.0,289.0,304.0,316.0,324.0,331.0,334.0,334.0
41,Portsmouth,E06000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,6.0,9.0,14.0,17.0,20.0,24.0,27.0,28.0,36.0,45.0,51.0,65.0,70.0,73.0,78.0,80.0,84.0,85.0,91.0,96.0,106.0,112.0,122.0,132.0,140.0,151.0,161.0,170.0,183.0,190.0,194.0,205.0,217.0,223.0,231.0,236.0,237.0,238.0,238.0,238.0
42,Southampton,E06000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,5.0,6.0,8.0,9.0,11.0,14.0,17.0,23.0,27.0,33.0,35.0,41.0,56.0,69.0,79.0,88.0,106.0,126.0,140.0,157.0,166.0,178.0,190.0,199.0,214.0,227.0,249.0,258.0,265.0,275.0,286.0,303.0,312.0,327.0,346.0,361.0,368.0,383.0,397.0,398.0
43,Isle of Wight,E06000046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,8.0,10.0,10.0,11.0,12.0,13.0,15.0,15.0,18.0,19.0,26.0,27.0,28.0,31.0,33.0,37.0,39.0,44.0,46.0,51.0,53.0,55.0,56.0,56.0,60.0,68.0,69.0,72.0,73.0,73.0,75.0,76.0
44,County Durham,E06000047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,7.0,9.0,12.0,15.0,18.0,28.0,34.0,47.0,61.0,75.0,94.0,106.0,126.0,148.0,200.0,236.0,273.0,304.0,330.0,416.0,479.0,532.0,590.0,646.0,697.0,726.0,771.0,809.0,851.0,888.0,925.0,971.0,998.0,1047.0,1068.0,1071.0
45,Cheshire East,E06000049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,7.0,10.0,11.0,11.0,15.0,19.0,23.0,24.0,27.0,32.0,34.0,41.0,53.0,63.0,77.0,85.0,98.0,110.0,128.0,159.0,187.0,201.0,220.0,247.0,280.0,308.0,340.0,377.0,405.0,434.0,453.0,484.0,512.0,538.0,572.0,602.0,626.0,646.0,665.0,683.0,689.0
46,Cheshire West and Chester,E06000050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,6.0,6.0,8.0,10.0,11.0,13.0,17.0,20.0,21.0,24.0,29.0,33.0,38.0,43.0,60.0,71.0,94.0,110.0,128.0,157.0,183.0,219.0,250.0,282.0,313.0,343.0,371.0,399.0,424.0,439.0,466.0,481.0,503.0,524.0,544.0,577.0,590.0,608.0,621.0,632.0,634.0
47,Shropshire,E06000051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,12.0,22.0,22.0,22.0,22.0,22.0,22.0,26.0,28.0,33.0,35.0,40.0,44.0,54.0,58.0,72.0,82.0,95.0,108.0,116.0,125.0,138.0,146.0,165.0,173.0,180.0,191.0,200.0,218.0,232.0,238.0,246.0,262.0,279.0,294.0,304.0,319.0,340.0,348.0,360.0,370.0,397.0,398.0
48,Cornwall and Isles of Scilly,E06000052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,6.0,7.0,8.0,8.0,9.0,10.0,11.0,14.0,16.0,21.0,23.0,29.0,32.0,35.0,41.0,44.0,48.0,59.0,74.0,84.0,95.0,106.0,126.0,147.0,164.0,182.0,197.0,208.0,227.0,241.0,257.0,275.0,287.0,300.0,320.0,341.0,351.0,359.0,384.0,398.0,411.0,417.0,425.0,435.0,436.0
49,Wiltshire,E06000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,8.0,9.0,13.0,13.0,13.0,17.0,18.0,22.0,27.0,31.0,35.0,41.0,47.0,55.0,60.0,67.0,85.0,92.0,95.0,108.0,118.0,128.0,138.0,153.0,162.0,180.0,193.0,203.0,214.0,231.0,236.0,252.0,263.0,280.0,285.0,310.0,333.0,356.0,372.0,387.0,396.0,400.0,400.0
50,Bedford,E06000055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,7.0,8.0,13.0,24.0,32.0,38.0,47.0,62.0,67.0,70.0,77.0,90.0,101.0,113.0,132.0,138.0,143.0,157.0,173.0,193.0,214.0,230.0,239.0,249.0,265.0,285.0,298.0,318.0,334.0,344.0,348.0,350.0,353.0,353.0
51,Central Bedfordshire,E06000056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,6.0,11.0,11.0,11.0,17.0,21.0,23.0,26.0,32.0,42.0,51.0,57.0,65.0,77.0,87.0,92.0,103.0,122.0,136.0,159.0,173.0,185.0,201.0,221.0,239.0,255.0,272.0,290.0,304.0,321.0,330.0,346.0,359.0,365.0,387.0,398.0,400.0,409.0,421.0,421.0
52,Northumberland,E06000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,6.0,7.0,9.0,10.0,10.0,13.0,20.0,28.0,36.0,48.0,55.0,65.0,71.0,78.0,95.0,135.0,159.0,181.0,206.0,229.0,257.0,287.0,322.0,358.0,382.0,421.0,458.0,489.0,520.0,539.0,556.0,581.0,605.0,625.0,648.0,668.0,668.0
53,"Bournemouth, Christchurch and Poole",E06000058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,8.0,8.0,9.0,9.0,9.0,10.0,11.0,12.0,12.0,15.0,16.0,17.0,22.0,27.0,36.0,45.0,52.0,58.0,71.0,77.0,92.0,104.0,115.0,123.0,135.0,153.0,172.0,187.0,204.0,226.0,233.0,255.0,269.0,287.0,295.0,320.0,333.0,345.0,353.0,362.0,368.0,369.0
54,Dorset,E06000059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,7.0,8.0,8.0,10.0,11.0,13.0,16.0,19.0,25.0,29.0,31.0,34.0,44.0,50.0,58.0,65.0,77.0,82.0,97.0,107.0,122.0,129.0,135.0,147.0,156.0,173.0,190.0,202.0,205.0,210.0,214.0,222.0,231.0,235.0,247.0,255.0,262.0,273.0,275.0,275.0
55,Bolton,E08000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,6.0,7.0,7.0,9.0,12.0,13.0,16.0,18.0,20.0,21.0,24.0,26.0,31.0,36.0,42.0,49.0,60.0,63.0,80.0,102.0,127.0,144.0,179.0,202.0,217.0,248.0,269.0,311.0,349.0,377.0,407.0,427.0,459.0,488.0,518.0,541.0,567.0,582.0,605.0,621.0,623.0,623.0
56,Bury,E08000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,8.0,10.0,12.0,14.0,15.0,17.0,24.0,27.0,35.0,38.0,52.0,61.0,71.0,78.0,94.0,100.0,116.0,124.0,142.0,153.0,168.0,181.0,193.0,207.0,217.0,233.0,249.0,258.0,263.0,267.0,291.0,305.0,333.0,346.0,352.0,369.0,369.0,369.0
57,Manchester,E08000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,4.0,4.0,6.0,7.0,8.0,8.0,15.0,15.0,18.0,24.0,28.0,31.0,35.0,39.0,42.0,46.0,58.0,66.0,81.0,103.0,117.0,148.0,171.0,195.0,228.0,256.0,290.0,320.0,360.0,396.0,464.0,518.0,563.0,613.0,645.0,686.0,717.0,746.0,783.0,813.0,828.0,841.0,866.0,884.0,916.0,929.0,929.0
58,Oldham,E08000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,6.0,6.0,7.0,9.0,10.0,10.0,14.0,15.0,17.0,21.0,24.0,34.0,39.0,45.0,57.0,71.0,85.0,96.0,109.0,119.0,137.0,150.0,172.0,195.0,215.0,228.0,241.0,260.0,280.0,293.0,304.0,331.0,354.0,369.0,376.0,387.0,411.0,436.0,453.0,471.0,488.0,507.0,509.0,509.0
