,AreaCode,Area,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23
0,S08000015,Ayrshire and Arran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,6.0,6.0,7.0,6.0,9.0,12.0,16.0,21.0,25.0,34.0,41.0,57.0,74.0,75.0,90.0,108.0,154.0,177.0,199.0,221.0,240.0,254.0,267.0,288.0,296.0,312.0,362.0,364.0,376.0,390.0,390.0,416.0,457.0,503.0,536.0,560.0,586.0,604.0,623.0,640.0,653.0
1,S08000016,Borders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,7.0,7.0,7.0,7.0,8.0,9.0,10.0,11.0,12.0,12.0,15.0,23.0,28.0,35.0,50.0,63.0,77.0,87.0,93.0,100.0,110.0,130.0,139.0,149.0,160.0,167.0,177.0,189.0,199.0,204.0,208.0,215.0,220.0,229.0,231.0,237.0,239.0,240.0,243.0,248.0
2,S08000017,Dumfries and Galloway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,10.0,13.0,16.0,18.0,26.0,31.0,39.0,47.0,60.0,63.0,74.0,92.0,100.0,104.0,122.0,127.0,141.0,144.0,152.0,155.0,163.0,164.0,179.0,186.0,192.0,199.0,207.0,207.0,209.0,222.0,229.0,231.0,231.0,235.0,235.0
3,S08000029,Fife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,7.0,7.0,7.0,8.0,9.0,12.0,13.0,16.0,19.0,25.0,29.0,40.0,41.0,51.0,58.0,70.0,76.0,96.0,119.0,147.0,173.0,200.0,227.0,239.0,255.0,288.0,333.0,356.0,379.0,383.0,397.0,424.0,446.0,488.0,514.0,532.0,542.0,561.0,593.0,619.0
4,S08000019,Forth Valley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,10.0,10.0,12.0,15.0,17.0,23.0,27.0,30.0,40.0,43.0,59.0,75.0,81.0,95.0,94.0,103.0,131.0,146.0,172.0,189.0,208.0,226.0,231.0,243.0,259.0,280.0,302.0,324.0,337.0,352.0,367.0,380.0,400.0,431.0,451.0,509.0,542.0,562.0,569.0,604.0
5,S08000020,Grampian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,4.0,6.0,6.0,7.0,11.0,9.0,12.0,12.0,26.0,24.0,18.0,19.0,20.0,23.0,24.0,24.0,29.0,31.0,45.0,52.0,62.0,66.0,86.0,108.0,128.0,173.0,177.0,194.0,209.0,210.0,223.0,236.0,251.0,261.0,291.0,313.0,335.0,357.0,389.0,394.0,432.0,464.0,490.0,519.0,550.0,602.0
6,S08000031,Greater Glasgow and Clyde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,5.0,10.0,21.0,31.0,39.0,44.0,49.0,57.0,71.0,91.0,110.0,130.0,152.0,183.0,221.0,258.0,299.0,376.0,401.0,449.0,547.0,632.0,682.0,779.0,851.0,931.0,984.0,1094.0,1166.0,1251.0,1314.0,1387.0,1449.0,1486.0,1575.0,1661.0,1742.0,1794.0,1905.0,1949.0,2020.0,2085.0,2174.0,2250.0
7,S08000022,Highland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,5.0,6.0,6.0,8.0,8.0,12.0,13.0,22.0,29.0,33.0,36.0,42.0,44.0,51.0,58.0,65.0,72.0,85.0,99.0,102.0,112.0,122.0,137.0,144.0,148.0,151.0,163.0,168.0,180.0,184.0,187.0,193.0,197.0,198.0,201.0,211.0,214.0
8,S08000032,Lanarkshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,7.0,7.0,10.0,16.0,20.0,21.0,25.0,33.0,41.0,49.0,49.0,58.0,75.0,87.0,114.0,140.0,165.0,184.0,197.0,244.0,284.0,320.0,377.0,427.0,478.0,512.0,547.0,575.0,607.0,662.0,707.0,758.0,784.0,822.0,873.0,911.0,934.0,995.0,1022.0,1051.0,1076.0,1118.0,1155.0
9,S08000024,Lothian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,7.0,8.0,11.0,20.0,25.0,28.0,29.0,30.0,33.0,35.0,40.0,44.0,46.0,59.0,70.0,88.0,111.0,139.0,151.0,188.0,208.0,269.0,311.0,356.0,408.0,476.0,534.0,577.0,621.0,700.0,747.0,799.0,856.0,915.0,932.0,989.0,1040.0,1107.0,1172.0,1239.0,1344.0,1399.0,1426.0,1515.0,1604.0
10,S08000025,Orkney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0
11,S08000026,Shetland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,6.0,6.0,11.0,11.0,15.0,11.0,16.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,27.0,27.0,27.0,29.0,30.0,30.0,36.0,40.0,41.0,41.0,42.0,43.0,43.0,43.0,43.0,43.0,45.0,45.0,45.0,45.0,45.0,45.0,51.0,51.0,52.0,54.0,54.0
12,S08000030,Tayside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,11.0,15.0,17.0,20.0,24.0,27.0,31.0,34.0,38.0,47.0,48.0,57.0,76.0,107.0,107.0,107.0,108.0,214.0,254.0,307.0,353.0,410.0,457.0,499.0,516.0,586.0,667.0,712.0,753.0,803.0,812.0,826.0,898.0,937.0,979.0,1022.0,1056.0,1071.0,1084.0,1124.0,1159.0
13,S08000028,Western Isles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
